사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
(주)세븐일레븐 분당궁전점,경기도 성남시 분당구 수내동 28-5 궁전쇼핑타운  1층  105호 일부 ,"경기도 성남시 분당구 내정로173번길 5 (수내동, 궁전쇼핑타운  1층  105호 일부)",37.3743453749,127.1192827894,편의점
(주)코리아세븐 분당효자촌점,경기도 성남시 분당구 서현동 298-2 상록프라자 1층 108호 일부 ,"경기도 성남시 분당구 돌마로486번길 6, 상록프라자 1층 108호 일부호 (서현동)",37.3771046685,127.1338957878,편의점
CU 대왕판교로점,경기도 성남시 분당구 궁내동 205-3번지 궁내빌딩 ,"경기도 성남시 분당구 대왕판교로 291, 궁내빌딩 1층 일부호 (궁내동)",37.3696756,127.1012109,편의점
CU분당서울대학교병원점,"경기도 성남시 분당구 구미동 300 분당서울대학교병원, 1동 지하1층 일부 ","경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 1동 지하1층 일부호 (구미동)",37.3520167812,127.1244991912,편의점
CU수내양지점,경기도 성남시 분당구 수내동 28-2 양지프라임 1층 102호 일부 ,"경기도 성남시 분당구 내정로 167, 양지프라임 1층 102(일부)호 (수내동)",37.3738852419,127.1191495816,편의점
GS(지에스)25 분당서현로점,경기도 성남시 분당구 서현동 333-3 1층 일부 ,"경기도 성남시 분당구 서현로 377, 1(일부)층 (서현동)",37.3766269517,127.1397714423,편의점
GS25 분당금강점,경기도 성남시 분당구 구미동 213번지 무지개마을 상가동 1층 101호 일부,"경기도 성남시 분당구 미금로22번길 9 (구미동, 무지개마을 상가동 1층 101호 일부)",37.3364491,127.1179698,편의점
GS25 분당느티점,경기도 성남시 분당구 정자동 66-13번지 1층(일부) ,"경기도 성남시 분당구 느티로69번길 5, 1(일부)층 (정자동)",37.3690855069,127.1122507875,편의점
GS25 분당대덕점,경기도 성남시 분당구 금곡동 206 101호 ,"경기도 성남시 분당구 정자일로 25 (금곡동, 101호)",37.352406221,127.1056747664,편의점
GS25 분당샤르망점,경기도 성남시 분당구 금곡동 166 이코노샤르망 1층 113호 일부 ,"경기도 성남시 분당구 돌마로 47, 이코노샤르망 1층 113(일부)호 (금곡동)",37.3503741253,127.1071870881,편의점
GS25 분당서현 CGV점,경기도 성남시 분당구 서현동 256번지 비전월드 101-18호(일부) ,"경기도 성남시 분당구 서현로180번길 19, 비전월드 1층 101-18(일부)호 (서현동)",37.3872799,127.1223835,편의점
GS25 분당수호,경기도 성남시 분당구 정자동 81-18번지 ,"경기도 성남시 분당구 느티로51번길 14, 1층 일부호 (정자동)",37.3697579,127.1102424,편의점
GS25 분당이매역점,경기도 성남시 분당구 이매동 92-1 매송빌딩 1층 GS25편의점 내 ,"경기도 성남시 분당구 방아로 8, 1층 (이매동, 매송빌딩 GS25편의점 내)",37.3978591783,127.1296371716,편의점
GS25 분당점,경기도 성남시 분당구 이매동 115-3 청산프라자 1층일부 ,"경기도 성남시 분당구 이매로 47 (이매동,청산프라자 1층일부)",37.3949817497,127.1261264724,편의점
GS25 분당중앙점,경기도 성남시 분당구 서현동 94번지 현대근린상가 1층 124호 일부,"경기도 성남시 분당구 중앙공원로40번길 8 (서현동, 현대근린상가 1층 124호 일부)",37.3796402,127.1301507,편의점
GS25 분당포스빌점,경기도 성남시 분당구 구미동 156 포스빌 1층 101호 일부 ,"경기도 성남시 분당구 성남대로 51 (구미동, 포스빌 1층 101호 일부)",37.340506942,127.1080851942,편의점
GS25 정자으뜸점,경기도 성남시 분당구 정자동 44-3번지 1층 일부,"경기도 성남시 분당구 백현로144번길 7-6 (정자동, 1층 일부)",37.3725295,127.1139945,편의점
GS25 판교 예미지점,경기도 성남시 분당구 삼평동 661 판교예미지 1층 일부 ,"경기도 성남시 분당구 판교역로192번길 14-1, 판교예미지 1(일부)층 (삼평동)",37.3974954932,127.1117994258,편의점
GS25(쥐에스25) 분당야탑,경기도 성남시 분당구 야탑동 355-1 1층 104-2호 ,"경기도 성남시 분당구 야탑로75번길 15 (야탑동, 1층 104-2호)",37.4111726792,127.1268257229,편의점
GS25차병원점,경기도 성남시 분당구 야탑동 351번지 차병원내,"경기도 성남시 분당구 야탑로 59 (야탑동,차병원내)",37.4101626,127.1252098,편의점
미니스톱 미금현대점,경기도 성남시 분당구 금곡동 147 현대아리온오피스텔 1층 일부 ,"경기도 성남시 분당구 성남대로172번길 12 (금곡동,현대아리온오피스텔 1층 일부)",37.3509798931,127.1104696178,편의점
미니스톱 분당미금역점,경기도 성남시 분당구 구미동 23-1 분당프라자 102호 일부 ,"경기도 성남시 분당구 돌마로 68 (구미동,분당프라자 102호 일부)",37.3496338389,127.1095620163,편의점
미니스톱 분당수내점,경기도 성남시 분당구 수내동 8-3번지 가나프라자 ,"경기도 성남시 분당구 황새울로258번길 10-7, 가나프라자 101 일부호 (수내동)",37.3800869813,127.1161848283,편의점
미니스톱 분당타운점,경기도 성남시 분당구 분당동 168-1 1층 일부 ,"경기도 성남시 분당구 분당로311번길 6 (분당동,1층 일부)",37.3673579413,127.141814708,편의점
미니스톱 분당판테온점,경기도 성남시 분당구 수내동 21-2 판테온오피스텔 102호 ,"경기도 성남시 분당구 황새울로200번길 9-7, 판테온 1층 102호 (수내동)",37.3777732976,127.1117881496,편의점
미니스톱 야탑엔즈빌점,경기도 성남시 분당구 야탑동 342-3번지 엔즈빌오피스텔 120호,"경기도 성남시 분당구 장미로48번길 14 (야탑동,엔즈빌오피스텔 120호)",37.4125861,127.1254622,편의점
미니스톱 초림한솔점,경기도 성남시 분당구 수내동 16-7 외1필지 한솔인피니티오피스텔104호 ,"경기도 성남시 분당구 황새울로200번길 22 (수내동,외1필지 한솔인피니티오피스텔104호)",37.3763793666,127.112766689,편의점
미니스톱 판교타워점,경기도 성남시 분당구 삼평동 617 판교테크노밸리 브릿지타워 1층 109호,"경기도 성남시 분당구 판교로227번길 6, 1층 109호 (삼평동, 판교테크노밸리 브릿지타워)",37.4030693582,127.0992967673,편의점
미니스톱 한국잡월드점,경기도 성남시 분당구 정자동 4-6 한국잡월드 1층 일부 ,"경기도 성남시 분당구 분당수서로 501, 한국잡월드 1층 일부호 (정자동)",37.3784854065,127.106340222,편의점
미니스톱서현3점,경기도 성남시 분당구 서현동 251-1 야베스밸리 1층 101호 일부 ,"경기도 성남시 분당구 서현로 192 (서현동,야베스밸리 1층 101호 일부)",37.387792366,127.1244225085,편의점
미니스톱서현골드점,경기도 성남시 분당구 서현동 77-7 1층 미니스톱편의점 내 일부 ,"경기도 성남시 분당구 새마을로7번길 2 (서현동, 1층 미니스톱편의점 내 일부)",37.3842089058,127.1314326092,편의점
미니스톱수내역점,경기도 성남시 분당구 수내동 19-2번지 1층 102호 일부,"경기도 성남시 분당구 백현로101번길 20 (수내동, 1층 102호 일부)",37.3771706,127.1130191,편의점
미니스톱판교웰츠점,경기도 성남시 분당구 삼평동 657 판교역KCC웰츠타워B동 1층 111호일부 ,"경기도 성남시 분당구 분당내곡로 155 (삼평동, 판교역KCC웰츠타워B동 1층 111호일부)",37.3976420827,127.1125217426,편의점
미니스톱판교점,경기도 성남시 분당구 삼평동 681번지 133호 일부,"경기도 성남시 분당구 판교역로 235 (삼평동, 133호 일부)",37.4019713,127.1076907,편의점
서현으뜸점 씨유,경기도 성남시 분당구 서현동 254-5번지 서현프라자 ,"경기도 성남시 분당구 서현로180번길 13, 서현프라자 1층 104호 (서현동)",37.3878381347,127.1228248511,편의점
세븐일레븐 담소마루스타트업판교점,경기도 성남시 분당구 삼평동 698 판교테크노밸리 스타트업 캠퍼스 1동 2층 일부 ,"경기도 성남시 분당구 판교로289번길 20, 판교테크노밸리 스타트업 캠퍼스 1동 2층 일부호 (삼평동)",37.4046236219,127.105819347,편의점
세븐일레븐 백현길벗점,경기도 성남시 분당구 백현동 564-5번지 1층 101호 일부,"경기도 성남시 분당구 판교역로14번길 20 (백현동, 1층 101호 일부)",37.3853894,127.1113826,편의점
세븐일레븐 분당4호점,경기도 성남시 분당구 분당동 97-12번지 1층일부 ,"경기도 성남시 분당구 서현로429번길 3 (분당동, 1층일부)",37.3744254956,127.144209172,편의점
세븐일레븐 분당두산타워점,"경기도 성남시 분당구 정자동 161 분당두산타워 지하1층 일부(8,9호) ","경기도 성남시 분당구 정자일로 155, 분당두산타워 지하1층 일부(8,9호)호 (정자동)",37.3641505802,127.105477802,편의점
세븐일레븐 분당로제비앙점,경기도 성남시 분당구 백현동 552 로제비앙스퀘어 1층 105호 일부 ,"경기도 성남시 분당구 동판교로 55 (백현동, 로제비앙스퀘어 1층 105호 일부)",37.3882838664,127.1146936729,편의점
세븐일레븐 분당목련점,경기도 성남시 분당구 야탑동 177 목련마을자영빌라근린상가동 101 읿호,"경기도 성남시 분당구 야탑로271번길 7, 목련마을자영빌라근린상가동 1층 101 일부호 (야탑동, 목련마을자영빌라)",37.407433027,127.147737036,편의점
세븐일레븐 분당미금본점,경기도 성남시 분당구 금곡동 157 금산젬월드 101호 일부 ,"경기도 성남시 분당구 돌마로 67 (금곡동, 금산젬월드 101호 일부)",37.350499041,127.1095236628,편의점
세븐일레븐 분당불정점,경기도 성남시 분당구 정자동 221-1번지 1층 일부 ,"경기도 성남시 분당구 불곡북로 6 (정자동, 1층 일부)",37.3596716823,127.1236265958,편의점
세븐일레븐 분당서울대병원신관점,경기도 성남시 분당구 구미동 300 분당서울대학교병원 신관 지하1층 일부 ,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원 신관 지하1층 일부)",37.3520167812,127.1244991912,편의점
세븐일레븐 분당서현시엔느점,경기도 성남시 분당구 서현동 88 서현 지엔느 1층 101-1호 일부 ,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 1층 101-1호 일부호 (서현동)",37.3838003602,127.1247700024,편의점
세븐일레븐 분당석운점,경기도 성남시 분당구 석운동 7-7번지 ,"경기도 성남시 분당구 석운로202번길 7, B동 1(일부)층 (석운동)",37.3806108,127.0463065,편의점
세븐일레븐 분당성우점,경기도 성남시 분당구 구미동 189-1 성우스타우스오피스텔 1층 103호 일부 ,"경기도 성남시 분당구 구미로 16, 성우스타우스오피스텔 1층 103(일부)호 (구미동)",37.3377132185,127.1109897025,편의점
세븐일레븐 분당아름점,경기도 성남시 분당구 야탑동 533-8 미라보상가 지상1층 1호 일부 ,"경기도 성남시 분당구 판교로 445, 미라보상가 지상1층 1(일부)호 (야탑동)",37.4057533678,127.1233385398,편의점
세븐일레븐 분당야탑으뜸점,경기도 성남시 분당구 야탑동 290-1 중탑조합상가 1층 103호 일부 ,"경기도 성남시 분당구 매화로 56, 중탑조합상가 1층 103(일부)호 (야탑동)",37.4124756729,127.1341983215,편의점
세븐일레븐 분당야탑점,경기도 성남시 분당구 야탑동 376-1번지 1층 일부 ,"경기도 성남시 분당구 장미로 88 (야탑동, 1층 일부)",37.4134997408,127.1305694717,편의점
세븐일레븐 분당영덕점,경기도 성남시 분당구 야탑동 499 ,"경기도 성남시 분당구 판교로610번길 22, 1(일부)층 (야탑동)",37.4072705794,127.1387095191,편의점
세븐일레븐 분당점,경기도 성남시 분당구 이매동 120-7 분당코아 1층 107호 일부 ,"경기도 성남시 분당구 양현로94번길 21, 분당코아 1층 107호 일부호 (이매동)",37.3910073781,127.1263495576,편의점
세븐일레븐 분당정자본점,경기도 성남시 분당구 정자동 46-4번지 신일프라자 ,"경기도 성남시 분당구 백현로 152, 신일프라자 1층 101(일부)호 (정자동)",37.3726729981,127.1147737609,편의점
세븐일레븐 분당정자점,경기도 성남시 분당구 정자동 65-6번지 1층 102호 일부 ,"경기도 성남시 분당구 느티로77번길 3, 1층 102(일부)호 (정자동)",37.3687283157,127.1129052079,편의점
세븐일레븐 분당청솔주공점,경기도 성남시 분당구 금곡동 133-2 청솔마을 아파트 ,"경기도 성남시 분당구 미금로 218, 청솔마을 아파트 상가동 1층 108(일부)호 (금곡동)",37.3521895977,127.11378298,편의점
세븐일레븐 분당풍림점,경기도 성남시 분당구 이매동 140 아름마을분산상가 518동 1층 101호 일부 ,"경기도 성남시 분당구 탄천로 59, 518동 1층 101(일부)호 (이매동, 아름마을풍림아파트)",37.3978362372,127.1223839371,편의점
세븐일레븐 산운마을점,경기도 성남시 분당구 운중동 322-10 1층 일부(102호) ,"경기도 성남시 분당구 하오개로 381, 1층 일부(102호)호 (운중동)",37.3921899845,127.061271875,편의점
세븐일레븐 서현에클라트점,경기도 성남시 분당구 서현동 251-3 엘지분당에클라트 1층 104호 일부 ,"경기도 성남시 분당구 서현로 184, 엘지분당에클라트 1층 104호 일부호 (서현동)",37.388376242,127.1237869847,편의점
세븐일레븐 성남터미널점,경기도 성남시 분당구 야탑동 341 성남(분당)여객자동차터미널 지상1층 405호일부 ,"경기도 성남시 분당구 성남대로925번길 16, 성남(분당)여객자동차터미널 지상1층 405호일부호 (야탑동)",37.4130939326,127.1272456048,편의점
세븐일레븐 수내마을점,경기도 성남시 분당구 수내동 93-8 1층 세븐일레븐 수내마을점 일부 ,"경기도 성남시 분당구 발이봉로 14-1 (수내동, 1층 세븐일레븐 수내마을점 일부)",37.3651769686,127.1273472533,편의점
세븐일레븐 수내푸른마을점,경기도 성남시 분당구 수내동 76 푸른마을쌍용아파트 분산상가 C동 1층 101호 ,"경기도 성남시 분당구 백현로 227, 분산상가 C동 1층 101호 (수내동, 푸른마을쌍용아파트)",37.3686243335,127.1229482605,편의점
세븐일레븐 야탑차병원점,경기도 성남시 분당구 야탑동 355-3 금호프라자 1층 107호 일부 ,"경기도 성남시 분당구 야탑로75번길 9, 금호프라자 1층 107호 일부호 (야탑동)",37.4108481535,127.1268160328,편의점
세븐일레븐 야탑테크노점,경기도 성남시 분당구 야탑동 149-10 테크노프라자빌딩 1층 106호(일부) ,"경기도 성남시 분당구 판교로 715, 테크노프라자빌딩 1층 106호(일부)호 (야탑동)",37.4050658739,127.1519513993,편의점
세븐일레븐 판교낙생점,경기도 성남시 분당구 판교동 512번지 낙생빌딩 101호 일부,"경기도 성남시 분당구 서판교로 154 (판교동, 낙생빌딩 101호 일부)",37.3996932,127.0951289,편의점
세븐일레븐 판교도서관점,경기도 성남시 분당구 판교동 613-1 1층 일부 ,"경기도 성남시 분당구 운중로277번길 46-8, 1(일부)층 (판교동)",37.3911862489,127.0905370387,편의점
세븐일레븐 판교디테라스점,경기도 성남시 분당구 삼평동 691 104호 일부 ,"경기도 성남시 분당구 판교로319번길 13, 지하1층 104일부호 (삼평동)",37.4036430788,127.1091237665,편의점
세븐일레븐 판교본점,경기도 성남시 분당구 삼평동 718 봇들마을4단지아파트 에이상가동 1층 103호 일부 ,"경기도 성남시 분당구 동판교로 226, 에이상가동 1층 103호 일부호 (삼평동, 봇들마을4단지아파트)",-,-,편의점
세븐일레븐 판교봇들9단지점,경기도 성남시 분당구 삼평동 744번지 봇들마을9단지금호어울림아파트 1층 101호 일부 ,"경기도 성남시 분당구 동판교로 156, 1층 101(일부)호 (삼평동, 봇들마을9단지금호어울림아파트)",37.3965550443,127.118660242,편의점
세븐일레븐 판교아브뉴프랑점,경기도 성남시 분당구 삼평동 740 판교 호반 써밋 플레이스 1층 121호일부 ,"경기도 성남시 분당구 동판교로177번길 25, 1층 121호일부호 (삼평동, 판교 호반 써밋 플레이스)",37.397320957,127.1135515109,편의점
세븐일레븐 효자촌점,경기도 성남시 분당구 서현동 306-3 건일빌딩 1층 일부(101호 일부) ,"경기도 성남시 분당구 불정로376번길 7, 건일빌딩 1층 일부(101호 일부)호 (서현동)",37.37372517,127.1370407714,편의점
세븐일레븐(분당이매촌점),경기도 성남시 분당구 이매동 106-6 ,경기도 성남시 분당구 양현로166번길 15 (이매동),37.3988162885,127.1272937349,편의점
세븐일레븐(분당정자3호점),"경기도 성남시 분당구 정자동 130-1번지 성남상가 1층 1, 2호 ","경기도 성남시 분당구 정자로76번길 5 (정자동,성남상가 1층 1, 2호)",37.362754079,127.1134608947,편의점
세븐일레븐(분당제생병원),경기도 성남시 분당구 서현동 255-2번지 분당제생병원 지하1층 편의점내 ,"경기도 성남시 분당구 서현로180번길 20 (서현동,분당제생병원 지하1층 편의점내)",37.3880556412,127.1215717901,편의점
세븐일레븐분당이매타운점,경기도 성남시 분당구 이매동 76-2 1층 일부 ,"경기도 성남시 분당구 방아로 22, 1층 일부호 (이매동)",37.398341915,127.13123913,편의점
세븐일레븐분당정자AK점,"경기도 성남시 분당구 정자동 16-1 AK와이즈플레이스 1층 106,108호 ","경기도 성남시 분당구 느티로 2, AK와이즈플레이스 1층 106,108호 (정자동)",37.3682505126,127.1050723522,편의점
세븐일레븐서현점,경기도 성남시 분당구 서현동 270-3 천지오피스텔 1층 104호 일부 ,"경기도 성남시 분당구 황새울로330번길 16 (서현동, 천지오피스텔 1층 104호 일부)",37.3847910863,127.1216925289,편의점
세븐일레븐서현지엔느점,경기도 성남시 분당구 서현동 88번지 서현 지엔느 ,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 1층 119호 일부호 (서현동)",37.3838003602,127.1247700024,편의점
세븐일레븐정자으뜸점,경기도 성남시 분당구 정자동 156-3 대명제스트빌딩 1층 107호(일부) ,"경기도 성남시 분당구 성남대로331번길 3-13, 대명제스트빌딩 1층 107호(일부)호 (정자동)",37.3644013485,127.1077012154,편의점
세븐일레븐정자헤리츠점,경기도 성남시 분당구 정자동 166-3번지 정자역 엠코헤리츠 4단지 D117 일부호 ,"경기도 성남시 분당구 정자일로 132, 정자역 엠코헤리츠 4단지 1층 D117일부호 (정자동)",37.3618466559,127.1065626647,편의점
세븐일레븐판교한림점,경기도 성남시 분당구 판교동 585 판교원마을한림풀에버아파트 1층 101호 일부 ,"경기도 성남시 분당구 서판교로 29, 1층 101호 일부호 (판교동, 판교원마을한림풀에버아파트)",37.3888887118,127.0960623213,편의점
씨유 나눔판교대장점,경기도 성남시 분당구 대장동 50 판교 퍼스트힐 푸르지오 1단지 119동  지하1층 1-G04호 ,"경기도 성남시 분당구 판교대장로7길 69, 119동 지하1층 1-G04호 (대장동, 판교 퍼스트힐 푸르지오 1단지)",37.3738471625,127.0711597041,편의점
씨유 미금파크점,"경기도 성남시 분당구 금곡동 150 미금파크주차빌딩, 101-6호 일부 ","경기도 성남시 분당구 성남대로172번길 24, 미금파크주차빌딩 101-6 일부호 (금곡동)",37.3509203615,127.1115538623,편의점
씨유 분당 백현점,경기도 성남시 분당구 백현동 605 ,"경기도 성남시 분당구 동판교로52번길 9, 1층 일부호 (백현동)",37.3871026386,127.1145641607,편의점
씨유 분당나우점,경기도 성남시 분당구 서현동 328-1 1층 일부 ,"경기도 성남시 분당구 서현로357번길 4 (서현동, 1층 일부)",37.3779750739,127.1384773563,편의점
씨유 분당동원점,경기도 성남시 분당구 동원동 103-3번지 가동 1층,"경기도 성남시 분당구 동원로 16 (동원동, 가동 1층)",37.3454214,127.0999266,편의점
씨유 분당삼환점,경기도 성남시 분당구 서현동 304번지 효자촌삼환아파트 106호,"경기도 성남시 분당구 돌마로476번길 31, 1층 106호 (서현동, 효자촌삼환아파트)",37.3751201784,127.1356526417,편의점
씨유 분당시그마2점,경기도 성남시 분당구 구미동 18 시그마2오피스텔 지하1층 비1-18호 ,"경기도 성남시 분당구 탄천상로 164, 시그마2오피스텔 지하1층 비1-18(일부)호 (구미동)",37.3437110217,127.1066234323,편의점
씨유 분당이매점,경기도 성남시 분당구 이매동 97-5 오성빌딩 1층 일부 ,"경기도 성남시 분당구 판교로 476, 오성빌딩 1층 일부호 (이매동)",37.4051420711,127.1266974461,편의점
씨유 분당장안제일점,경기도 성남시 분당구 분당동 90-5 진원빌딩 1층 일부(102호) ,"경기도 성남시 분당구 장안로 31, 진원빌딩 1층 일부(102호)호 (분당동)",37.3698304937,127.1427290491,편의점
씨유 분당파라곤점,경기도 성남시 분당구 정자동 17-2 백궁동양파라곤 1층 103호 일부 ,"경기도 성남시 분당구 느티로 22, 백궁동양파라곤 1층 103호 일부호 (정자동)",37.3681405928,127.1072525907,편의점
씨유 분당한양제일,경기도 성남시 분당구 서현동 91 한양아파트 분산상가동 1층 제1호(일부) ,"경기도 성남시 분당구 중앙공원로 17, 분산상가동 1층 제1호(일부)호 (서현동, 한양아파트)",-,-,편의점
씨유 분당효자촌점,경기도 성남시 분당구 서현동 292번지 효자촌임광아파트 ,"경기도 성남시 분당구 불정로 397, 분산상가동 1층 일부호 (서현동, 효자촌임광아파트)",37.3763074442,127.1374837459,편의점
씨유 서현에클라트점,경기도 성남시 분당구 서현동 245-4 엘지에클라트2 1층 108호 일부 ,"경기도 성남시 분당구 서현로 204, 엘지에클라트2 1층 108호 일부호 (서현동)",37.3871188156,127.1252053227,편의점
씨유 야탑선경점,"경기도 성남시 분당구 야탑동 537-1 EUGENE'S 빌딩 1층 일부(106,107호일부) ","경기도 성남시 분당구 야탑로 22, EUGENE'S 빌딩 1층 일부(106,107호일부)호 (야탑동)",37.4084872623,127.1213700141,편의점
씨유 야탑현대점,경기도 성남시 분당구 야탑동 334번지 장미마을 1106  일부 ,"경기도 성남시 분당구 장미로 101, 1106일부호 (야탑동, 장미마을)",37.415500627,127.1299628797,편의점
씨유 판교도서관점,경기도 성남시 분당구 판교동 601-11 ,"경기도 성남시 분당구 운중로267번길 9, 1층 일부호 (판교동)",37.3899323015,127.0928484163,편의점
씨유(CU) 분당그랑시아점,경기도 성남시 분당구 구미동 187-2번지 세종그랑시아∥ ,"경기도 성남시 분당구 구미로9번길 10, 1층 101-1(일부)호 (구미동, 세종그랑시아∥)",37.3390329,127.1106275,편의점
씨유(CU) 분당우성점,경기도 성남시 분당구 서현동 95번지 분당우성프라자 1층 119호 일부 ,"경기도 성남시 분당구 돌마로 481, 분당우성프라자 1층 119(일부)호 (서현동)",37.3776731831,127.1328232506,편의점
