오피스텔명,소재지도로명주소,위도,경도
금호리빙스텔,경기도 성남시 분당구 황새울로342번길 11(서현동),37.3862176,127.1236466
분당풍림아이원플러스,경기도 성남시 분당구 서현로 170(서현동),37.3889964,127.1225147
LG분당에클라트,경기도 성남시 분당구 서현로 184(서현동),37.3883743,127.1237889
성지하이츠텔,경기도 성남시 분당구 서현로210번길 2(서현동),37.3868395,127.1254838
분당오벨리스크,경기도 성남시 분당구 서현로 216(서현동),37.3862246,127.1262319
현대카스올림픽골프파크,경기도 성남시 분당구 중앙공원로40번길 4(서현동),37.3803092,127.1294215
천지,경기도 성남시 분당구 황새울로330번길 16(서현동),37.3847835,127.1216921
한라시그마파크,경기도 성남시 분당구 황새울로 307(서현동),37.3844773,127.1198323
호반메트로큐브,경기도 성남시 분당구 대왕판교로606번길 31(삼평동),37.3966909,127.1106823
판교역 푸르지오시티,경기도 성남시 분당구 삼평동 653,37.3968927,127.1119254
SG 타워,경기도 성남시 분당구 삼평동 655,37.396913,127.1125306
판교역KCC웰츠타워(B동),경기도 성남시 분당구 분당내곡로 155(삼평동),37.3976391,127.1125236
판교역KCC웰츠타워(A동),경기도 성남시 분당구 분당내곡로 159(삼평동),37.3977124,127.1125495
판교효성해링턴타워,경기도 성남시 분당구 판교역로192번길 22(삼평동),37.3980298,127.1120303
판교역SK허브,경기도 성남시 분당구 판교역로 109(백현동),37.3911072,127.1089453
디테라스,경기도 성남시 분당구 판교로319번길 13(삼평동),37.4036874,127.1090545
M타워,경기도 성남시 분당구 판교역로241번길 22(삼평동),37.4027261,127.1068308
판교테크노벨리브릿지타워,경기도 성남시 분당구 판교로227번길 6(삼평동),37.4030349,127.0992412
분당트라팰리스,경기도 성남시 분당구 황새울로 234(수내동),37.379533,127.1142363
청구블루빌,"경기도 성남시 분당구 황새울로 224(수내동, 청구블루빌)",37.3788421,127.1132818
한솔인피니티,경기도 성남시 분당구 황새울로200번길 22(수내동),37.3763714,127.112773
수내동퍼스티플러스,경기도 성남시 분당구 황새울로 196(수내동),37.3772928,127.1108956
로얄팰리스하우스빌,경기도 성남시 분당구 백현로 105(수내동),37.3761283,127.1120263
두산위브센티움1,경기도 성남시 분당구 수내로 38(수내동),37.3811611,127.1166485
삼성보보스쉐르빌,경기도 성남시 분당구 수내로 54(수내동),37.380066,127.1177766
분당수내동그라테아,경기도 성남시 분당구 황새울로258번길 23(수내동),37.3796038,127.1173107
오피스텔트레벨,경기도 성남시 분당구 황새울로258번길 35(수내동),37.3788773,127.1162952
분당두산위브파빌리온,경기도 성남시 분당구 성남대로 393(정자동),37.3716373,127.1071715
백궁동양파라곤,경기도 성남시 분당구 느티로 22(정자동),37.3681546,127.1072392
정자동2차푸르지오시티,경기도 성남시 분당구 정자일로 197(정자동),37.3680356,127.1055292
정자역AK와이즈플레이스,경기도 성남시 분당구 느티로 2(정자동),37.3682521,127.1050751
분당인텔리지2,경기도 성남시 분당구 정자일로 177(정자동),37.3661371,127.1054098
우정,경기도 성남시 분당구 성남대로331번길 9-3(정자동),37.3652742,127.1070967
로얄비즈텔,경기도 성남시 분당구 성남대로331번길 3-12(정자동),37.3645049,127.1073311
정자푸르지오시티3차,경기도 성남시 분당구 정자일로 135(정자동),37.362329,127.1053053
정자역엠코헤리츠1단지,경기도 성남시 분당구 정자일로 146(정자동),37.363149,127.106819
정자역엠코헤리츠2단지,경기도 성남시 분당구 정자일로 140(정자동),37.3627351,127.1065412
정자역엠코헤리츠3단지,경기도 성남시 분당구 정자일로 136(정자동),37.3622747,127.1066017
정자역엠코헤리츠4단지,경기도 성남시 분당구 정자일로 132(정자동),37.3618698,127.1065978
대림아크로텔,경기도 성남시 분당구 성남대로 295(정자동),37.3624817,127.1075423
시그마2,경기도 성남시 분당구 탄천상로 164 (구미동),37.3444366,127.1054167
포스빌,경기도 성남시 분당구 성남대로 51 (구미동),37.3404855,127.1081054
분당수지유타워,경기도 용인시 수지구 신수로 767 (동천동),37.3382513,127.1013616
체리빌,경기도 성남시 분당구 구미로9번길 16 (구미동),37.3394922,127.1106824
노블빌리지2,경기도 성남시 분당구 탄천상로 89 (구미동),37.3393585,127.1110179
세종그랑시아1,경기도 성남시 분당구 구미로9번길 8 (구미동),37.3387904,127.1106681
성우스타우스,경기도 성남시 분당구 구미로 16 (구미동),37.3376985,127.11099
LG트윈하우스,경기도 성남시 분당구 성남대로2번길 6 (구미동),37.3354301,127.1098071
금곡동 코오롱트리폴리스1,경기도 성남시 분당구 정자일로 1(금곡동),37.3508124,127.1053106
금곡동 씨티밸리,경기도 성남시 분당구 성남대로171번길 17(금곡동),37.3511375,127.1068561
금곡동 골든벨리,경기도 성남시 분당구 성남대로171번길 9(금곡동),37.3511283,127.1075401
금곡동 천사의도시3,경기도 성남시 분당구 정자일로6번길 13(금곡동),37.3508274,127.1075557
금곡동 천사의도시2,경기도 성남시 분당구 돌마로 51(금곡동),37.350374,127.1077697
금곡동 천사의도시,경기도 성남시 분당구 성남대로 165(금곡동),37.350748,127.1083309
구미동 분당엠코헤리츠,경기도 성남시 분당구 성남대로 151(구미동),37.3493317,127.1083133
구미동 분당현대벤쳐빌,경기도 성남시 분당구 돌마로 80(구미동),37.3496874,127.1103865
금곡동 현대아리온,경기도 성남시 분당구 성남대로172번길 12(금곡동),37.3509802,127.1104674
금곡동 분당미금파크,경기도 성남시 분당구 성남대로172번길 24(금곡동),37.3508885,127.1115089
르네상스분당,경기도 성남시 분당구 장미로48번길 10(야탑동),37.4130501,127.1255128
엔즈빌,경기도 성남시 분당구 장미로48번길 14(야탑동),37.4126356,127.1255098
한승베네피아,경기도 성남시 분당구 성남대로925번길 37(야탑동),37.4119858,127.1245796
남서울프라자,경기도 성남시 분당구 판교로 441(야탑동),37.405755,127.1227762
시티파크,경기도 성남시 중원구 양현로405번길 17(여수동),37.4185183,127.1268948
시그너스,경기도 성남시 중원구 성남대로997번길 11(여수동),37.4185567,127.1274229
베스티안,경기도 성남시 중원구 성남대로 989(여수동),37.4180033,127.1281871
신야탑푸르지오시티1,경기도 성남시 중원구 양현로405번길 5(여수동),37.4172917,127.126897
시티스마트캐슬2.0,경기도 성남시 중원구 양현로 413(여수동),37.4171637,127.1281793
시그마3,경기도 성남시 분당구 장미로 78(야탑동),37.4135231,127.1295855
노블리치1,경기도 성남시 분당구 성남대로916번길 20(야탑동),37.4101471,127.1299451
라비앙오피스텔분당,경기도 성남시 분당구 성남대로 884-9(야탑동),37.4090729,127.1292701
뉴젠빌원룸텔,경기도 성남시 분당구 야탑로 102(야탑동),37.409596,127.1301328
프리아,경기도 성남시 분당구 야탑로 106(야탑동),37.4095726,127.1305874
남서울프라자,경기도 성남시 분당구 판교로 441(야탑동),37.405755,127.1227762
